x,y
46.4162,189.284
69.7021,281.589
70.3666,285.06
66.9001,270.337
39.4136,160.545
81.857,330.067
87.5023,352.899
45.5261,184.893
67.0656,272.325
2.78121,13.5878
12.6035,53.6098
59.8827,242.128
98.9094,398.017
69.2888,280.056
30.4073,125.027
52.4295,213.285
60.0978,243.455
69.7381,281.402
47.7498,193.759
51.4444,207.814
59.2333,239.926
66.052,266.425
88.83,357.774
51.933,210.699
54.908,222.969
92.8106,374.055
20.0017,83.0474
4.30122,20.5319
52.1021,210.752
91.5545,369.356
34.2829,140.617
43.3144,176.518
52.8488,214.199
62.6548,254.012
70.9613,286.116
51.0968,207.413
42.0473,171.738
6.07898,27.4905
40.3316,163.927
49.6005,201.294
32.1966,132.232
70.7383,286.057
38.0653,155.455
95.5201,385.021
1.76798,10.2379
13.2509,55.9736
92.8586,374.625
86.5949,349.712
38.3728,156.346
90.1101,363.152
46.0771,186.981
74.2131,299.48
91.8815,370.373
92.1719,371.616
84.8971,342.204
94.7914,382.338
79.2314,320.115
7.62009,34.0057
61.7505,250.632
54.4395,221.551
1.61818,9.28395
94.6205,381.093
4.44969,21.1025
4.22623,20.1458
55.4698,224.603
26.8183,110.358
31.8835,130.057
13.8338,57.8035
61.6248,249.884
27.0512,110.459
61.1467,248.023
76.1454,307.836
75.7373,306.148
32.9036,135.11
62.2788,252.393
80.6748,325.607
55.7966,225.8
74.0117,298.831
34.6746,141.543
15.9918,66.9727
71.0147,287.12
87.9773,354.993
19.2017,79.6609
98.5745,396.832
46.928,190.819
14.7148,61.6368
77.3532,312.782
74.1013,299.494
47.9938,195.142
62.0381,251.33
85.6185,345.553
34.8934,143.103
1.03603,7.10734
76.9974,311.056
47.5824,193.403
10.9533,47.08
58.2809,236.293
7.28685,32.2087
70.5169,285.091
84.8078,342.51
